layer,Cota,Cota_MDE_R,Dif_MDE_Ra,UnidadPaisaje
Puntos IGN,2.8,2.53543,-0.265,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.61932,-0.081,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.72071,0.121,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.623,0.023,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.46514,-0.135,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.5,2.52474,0.025,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.65853,0.059,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.5173,-0.183,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.4,2.56213,0.162,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.7,2.38162,-1.318,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.56213,-0.038,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.55283,-0.247,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.41425,-0.186,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.27863,-0.421,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.31632,-0.484,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.8,2.48924,-0.311,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.49212,-0.108,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.7,2.39485,-0.305,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,4.6,2.4016,-2.198,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.27467,-0.325,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.2489,-0.351,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,2.6,2.41018,-0.19,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
Puntos IGN,3.1,2.38846,-0.712,Humedales de los lobulos deltaicos del Holoceno Medio_Lechiguanas
